id,name
unit_mL,mL
unit_mg,mg
unit_g,g
unit_L,L
unit_mcg,mcg
unit_mcL,mcL
unit_tablets,tablets
unit_dose,dose
unit_gallon,gallon
unit_sq_cm,sq.cm.
unit_actuation,actuation
unit_bead,bead

unit_vial,vial
unit_tablet,tablet
unit_capsule,capsule
unit_bottle,bottle
unit_implant,implant
unit_sachet,sachet
unit_ampoule,ampoule
unit_unit_dose,unit dose
unit_tube,tube
unit_suppository,suppository
unit_prefilled_syr,prefilled syr
unit_prefilled_pen,prefilled pen
unit_lozenge,lozenge
unit_pessary,pessary
unit_pack,pack
unit_jar,jar
unit_chewing_gum,chewing gum
unit_pastille,pastille
unit_bag,bag
unit_cartridge,cartridge
unit_patch,patch
unit_canister,canister
unit_actuation,actuation
unit_measure,measure
unit_dressing,dressing
unit_roll-on_container,roll-on container
unit_inhalation,inhalation
unit_stick,stick
unit_plaster,plaster
unit_intrauterine_contraceptive_device,intrauterine contraceptive device
unit_bar,bar
unit_ring,ring
unit_applicator,applicator
unit_dropper_container,dropper container
unit_inhaler,inhaler
unit_sheet,sheet
unit_box,box
unit_blister,blister
